タイトル,cluster
機動戦士ガンダム サンダーボルト（27）,6
自由気ままな精霊姫（6）,2
映像研には手を出すな！（10）,2
ラーメン赤猫 13,5
真面目系天然令嬢は年下王子の想いに気づかない　3,2
陰の実力者になりたくて！　（17）,2
ポケピース シェアハウスのなかまたち,5
黄泉のツガイ（11）,2
俺だけレベルアップな件 23,2
元婚約者から逃げるため吸血伯爵に恋人のフリをお願いしたら、なぜか溺愛モードになりました（6）,2
野人転生（11）,2
WIND　BREAKER（24）,2
ふつうの軽音部 9,2
魔入りました！入間くん　46,2
SPY×FAMILY 16,2
らんま1／2公式ファンブック 大歓喜,5
死に戻りの魔法学校生活を、元恋人とプロローグから 7 （※ただし好感度はゼロ）,2
Dジェネシス　ダンジョンが出来て3年　（8）,2
おせん　和な女　（6）,2
銀河特急 ミルキー☆サブウェイ 1,2
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！（20）,2
光が死んだ夏　8,2
わるい猫,5
Veil（7）熱するブルー,5
大乱　関ヶ原（6巻）,2
ひらやすみ（9）,6
ダーウィン事変（10）,2
ウィッチウォッチ 24,2
逃げ上手の若君 23,2
魔法医レクスの変態カルテ 4,2
ハズレ枠ので最強になった俺がすべてを蹂躙するまで 13,2
幼女戦記　（33）,2
異世界でスローライフを（願望） 10,2
BLUE GIANT MOMENTUM（6）,6
ディグイット（2）,2
蒼き鋼のアルペジオ　30,2
3月のライオン ダイアリー 2025．12-2027．3,5
おさまる家　井田千秋 作品集,5
ファミレス行こ。 下 トランプ付き特装版,2
30歳まで童貞だと魔法使いになれるらしい（16）,2
薬屋のひとりごと〜猫猫の後宮謎解き手帳〜 21 ピルケース＆巾着袋付特装版,2
航宙軍士官、冒険者になる9,2
異世界居酒屋「のぶ」　（21）,2
ゆうべはお楽しみでしたね（12）,2
日々は過ぎれど飯うまし　2,2
終末のワルキューレ（26）,2
あたしンちSUPER　第4巻,5
To-y扉絵集 COVERS,5
あくまっこピルケ（1）,6
とんがり帽子のアトリエ（15）限定版,2
ROPPEN-六篇ー（10）,6
嘆きの亡霊は引退したい 〜最弱ハンターによる最強パーティ育成術〜 （12）,2
ゲート　自衛隊　彼の地にて、斯く戦えり（28）,2
漫画 お金の大冒険,5
甘くて熱くて息もできない 4,2
ピッコリーナ　続の2,5
宗像教授セレクション 小泉八雲と出雲,6
異世界でチート能力を手にした俺は、現実世界をも無双する 7 〜レベルアップは人生を変えた〜,2
ゆびさきと恋々（13）,2
ムーミン・コミックス（全14巻セット）,5
魔法科高校の劣等生　インベージョン編（1）,2
モモ艦長の秘密基地 2,5
転生したらスライムだった件（30）,2
ひかえめに言っても、これは愛（8）,2
ぼくは異世界で付与魔法と召喚魔法を天秤にかける 6,2
転生したらスライムだった件　番外編　〜とある休暇の過ごし方〜（4）,2
ハクメイとミコチ　14巻,5
「ガラスの仮面」連載50周年記念アクリルジオラマつきSPファンブック,5
黒妖の花嫁〜忌み嫌われた私が冷酷大尉に愛されるまで〜2COMIC,2
黄昏流星群（76）,2
クマ撃ちの女 16,2
胚培養士（はいばいようし）ミズイロ（9）,6
お別れホスピタル（15）,6
お求めいただいた暴君陛下の悪女です（6）,2
しゅごキャラ！　ジュエルジョーカー（3）　キラキラスリーブケース＆イラストカード付き特装版,2
ピッコリーナ　続の1,5
あだち充イラスト集 Season’s Album 1 新装版,5
THE　BAND（3）,2
FX戦士くるみちゃん　9,5
あだち充イラスト集 Season’s Album 2,6
転生王女と天才令嬢の魔法革命 8,2
剣客商売（53巻）,2
准教授・高槻彰良の推察　7,2
ARIA 完全版　[ARIA The MASTERPIECE]（8）,5
邪神の弁当屋さん（3）,2
拝啓見知らぬ旦那様、離婚していただきます V（5）,2
デザイナー 渋井直人の休日〜メロウ・ブルー〜,5
彼岸島　48日後…（52）,2
最後のエルフ 3,2
ONE PIECE 112,2
乱太郎とめぐるふしぎな世界,5
3月のライオン 18,2
果実と怪物（描き下ろしコミック＆イラスト小冊子付き）,2
デキる猫は今日も憂鬱（12）,2
伍と碁（4）,2
うしろの席のぎゃるに好かれてしまった。（3） もう俺はダメかもしれない。,2
でびるんしぇあはうすっ（1）,5
ある日、お姫様になってしまった件について　13,2
ラジエーションハウス 19,2
TVアニメ『葬送のフリーレン』副読本 1 フリーレン＆ヒンメルがわかる魔法,6
ゴブリンスレイヤー（17）,2
身代わりの花嫁は、不器用な辺境伯に溺愛される5,2
国宝（4）,6
GARAGE　西風短編集,2
ここは今から倫理です。 10,2
ごきげんな40歳になりたい,5
THE　POOL,2
パラレルパラダイス（30）,2
スーパーの裏でヤニ吸うふたり（8）特装版　小冊子「裏ヤニ3」付き,5
29歳独身は異世界で自由に生きた……かった。　（8）,2
身代わり令嬢を救ったのは冷酷無慈悲な氷の王子の愛でした2,2
グラン＆グルメ 3 〜器用貧乏な転生勇者が始める辺境スローライフ〜,2
ケンガンオメガ（31）,2
ぼくは地球と歌う 「ぼく地球」次世代編II 10,2
一ノ関圭自選集 思色,5
アイドルマスター シャイニーカラーズ コヒーレントライト（4）CD付き特装版,5
あらくさ忍法帖 10,2
ハンドレッドノートーホークアイズー（2）,2
ぼっち・ざ・ろっく！アンソロジーコミック　6,5
26歳処女、チャラ男上司に抱かれました（3巻）,2
でんぢゃらすじーさん大長編これくしょん（下）,5
ワンダンス（15）,2
とりあえず、ヤりましょう　3,2
ベー革（8）,6
ふたりソロキャンプ（22）,2
フットボールネーション（20）,6
誰かこの状況を説明してください！ 〜契約から始まるウェディング〜 11,2
月曜日のたわわ（14）,2
侯爵家の次女は姿を隠す 1,2
推しが武道館いってくれたら死ぬ（12）,2
どこでも助六の日常,5
勇者パーティーを追放された白魔導師、Sランク冒険者に拾われる〜この白魔導師が規格外すぎる〜（10）,2
くーねるまるた ぬーぼ（18）,2
死に戻りの幸薄令嬢、今世では最恐ラスボスお義兄様に溺愛されてます（12）,2
勘違いの工房主（9）,2
オーイ！とんぼ　第60巻,5
ワンパンマン 35,2
妹は知っている（5）,2
悪役令嬢みたいに断罪されそうだったけど、全力で愛されてます！　不幸な運命に「ざまぁ」しますわ！　アンソロジーコミック（9）,2
隣のステラ（9）,2
交響詩篇エウレカセブン　（3）,5
交響詩篇エウレカセブン　（2）,5
ぼくらはみんな＊んでいる（3）,2
小説 葬送のフリーレン（2）,2
どくだみの花咲くころ（4）,2
安野モヨコ選集 シュガシュガルーン（3）,2
完本　化け猫あんずちゃん,5
リア小姓 1,2
蒼天の拳 リジェネシス（6）,2
貞操逆転世界の童貞辺境領主騎士 3,2
奴隷からの期待と評価のせいで搾取できないのだが　（4）,2
とんがり帽子のアトリエ（15）,2
その着せ替え人形は恋をする Season 2　TVアニメ公式ファンブック 嬉しすぎてブチ上げよいちょ！,5
交響詩篇エウレカセブン　（1）,5
ファミレス行こ。 下（2）,2
猫と竜（12）,2
ホタルの嫁入り（10）,6
ハズレではじまる溺愛人生〜仕組まれた恋の相手はハイスぺ社長4,2
宇崎ちゃんは遊びたい！　14,2
機動戦士ガンダムNT（16）,2
みいちゃんと山田さん（5）,2
ドラめくり2026,6
悪役令嬢たちは揺るがない3,2
令和のダラさん 7,5
ぼっち・ざ・ろっく！外伝　廣井きくりの深酒日記　6,5
ブルーロック（36）　描き下ろし凪・玲王・斬鉄学生服SDステッカー付き特装版,5
弱虫ペダル　98,2
Sランク冒険者である俺の娘たちは重度のファザコンでした 11,2
数字であそぼ。（15）,6
超人X 14,2
ガチアクタ（17）,2
召喚された賢者は異世界を往く　〜最強なのは不要在庫のアイテムでした〜　14,2
バスタード・ソードマン 3,2
ダーリンは80歳,2
主人恋日記 12 メモリアルファンブック付き特装版,5
学園アイドルマスター　GOLD　RUSH　特装版　4,2
夫の遺言が「同人誌描け」だったもので　3,2
シルバーマウンテン（2）,6
FOOL for THE CITY 2025 EDITION（1）,2
オークの樹の下　4,2
生徒会にも穴はある！（11）,2
桃組プラス戦記　第24巻,2
TVアニメ『葬送のフリーレン』副読本 2 フェルン＆シュタルクがわかる魔法,6
麗しの皇帝陛下の番に選ばれてしまったのですが、まだ仕事がしたいので秘密です！ 2,2
装備製作系チートで異世界を自由に生きていきます（6）,2
僕のヒーローアカデミア 公式イラスト集 Ultra Artworks,5
私を好きすぎる勇者様を利用して、今世こそ長生きするつもりだったのに（多分、また失敗した）4,2
春の嵐とモンスター 9,2
ローカル女子の遠吠え　12,2
機動戦士Vガンダム外伝　オデロ・ヘンリークからの手紙　2,2
純愛上等！ 下,2
ホテル・メッツァペウラへようこそ 7巻,2
くたびれサラリーマンな俺、7年ぶりに再会した美少女JKと同棲を始める,2
機動戦士ガンダムNT（17）,2
怪物事変 24,2
ダンス・ダンス・ダンスール（31）,2
桃源暗鬼　27,2
クラッシャージョウ　REBIRTH（6）,2
追放貴族は、外れスキルで英霊たちと辺境領地を再興する〜英霊たちを召喚したら慕われたので、最強領地を作り上げます〜 6,2
MAO（26）,2
ヒロインなのに、イケメンアイドル♂になりました！？（5）,2
FAIRY　TAIL　100　YEARS　QUEST（22）,2
神血の救世主〜0.00000001％を引き当て最強へ〜（6）,2
魔王城の料理番 5,2
ウルトラ兄弟物語 特別愛蔵版（1）,5
帰ってください！ 阿久津さん　（11）,2
デッドマウント・デスプレイ（16）,2
龍とカメレオン（8）,2
いとなみいとなめず後日談　いとなみいとなめた！,2
槐と優,2
かまって新卒ちゃんが毎回誘ってくる5,2
ゴブリンスレイヤー外伝：イヤーワン（14）,2
藍渓鎮 羅小黒戦記外伝 （5）,2
ボーイッシュ彼女が可愛すぎる（4）特装版　小冊子付き,2
追放された転生重騎士はゲーム知識で無双する（16）,2
八男って、それはないでしょう！ みそっかす -episode.エリーゼー 1,2
星野之宣50周年珠玉SF選集　刹那,5
純愛上等！ 上,2
TVアニメ『夏目友人帳』公式ビジュアルブック〜時の面影〜,5
異世界失格（14）,6
便利屋斎藤さん、異世界に行く 　14,2
やましさの熱に抱かれて（下）,2
勇者パーティを追い出された器用貧乏　〜パーティ事情で付与術士をやっていた剣士、万能へと至る〜（17）,2
呪われた仮面公爵に嫁いだ薄幸令嬢の掴んだ幸せ 2,2
パーフェクトグリッター（3）,6
勇気あるものより散れ 8,2
偽りのフレイヤ 14,2
「くじ」から始まる婚約生活〜厳正なる抽選の結果、笑わない次期公爵様の婚約者に当選しました〜（7）,2
ドンケツ　第2章　16,2
終の退魔師 エンダーガイスター（22）,6
GTO　パラダイス・ロスト　改（10）,2
盾の勇者の成り上がり　29,2
やましさの熱に抱かれて（上）,2
サンキューピッチ 4,2
リコリス・リコイル　8,2
女子高生の無駄づかい　（15）,2
ねずみの初恋（8）,2
愚かな天使は悪魔と踊る　22,2
ピンクとハバネロ 14,2
ベルばらKids　完全版,5
刀剣乱舞　あうとどあ異聞　刀剣野営　グッズ付き特装版　4,5
なつのの京（3）,6
無能な継母ですが、家族の溺愛が止まりません！ 3,2
わたし、二番目の彼女でいいから。 3,2
Bite Maker AK（5）,6
ぐらんぶる（25）,2
捨てられ聖女は契約結婚を満喫中。後悔してる？だから何？（2）,2
AKIRA　3,5
描くなるうえは 6,2
宇宙兄弟（45）,2
GTO　パラダイス・ロスト　改（9）,2
雑用付与術師が自分の最強に気付くまで（10）,2
解雇された暗黒兵士（30代）のスローなセカンドライフ（17）,2
悪女は美しき獣の愛に咲く（2）,2
信長を殺した男　〜日輪のデマルカシオン〜　9,2
プリンタニア・ニッポン,5
夢幻紳士　猟奇篇,2
同居人はひざ、時々、頭のうえ。（12）,2
CLAMP　PREMIUM　COLLECTION　CLOVER（1）,2
事情を知らない転校生がグイグイくる。,5
OMORI（3）,2
帝国の恋嫁 8,2
モブ高生の俺でも冒険者になればリア充になれますか？（7）,2
軍神の花嫁　5,2
転生賢者の異世界ライフ〜第二の職業を得て、世界最強になりました〜,2
働かないふたり 36,2
スヌーピーめくり2026,5
デッドマウント・デスプレイ外伝　怪人ソリティアの神仙偽術（4）,2
僕の心のヤバイやつ　万年カレンダー付き　13,2
日本へようこそエルフさん。 12,5
ジャンク・ランク・ファミリー　20,2
名探偵コナン手帳2026,5
地政学ボーイズ　〜国がサラリーマンになって働く会社〜　8,5
ヴァンパイア騎士 memories 11,2
全てのネガティブをプラスに変える夫 髭「人生満点じゃなくてもはなまるだ」編,5
コンビニではじまる恋の話（1）,2
今世は当主になります　7,2
ヴィンランド・サガ（29）,2
漫画「天官賜福」日本語翻訳版 第3巻,2
とりぱん（35）,2
イクサガミ（6）,2
ミントチョコレート 14,2
星屑の王子様 9 ボイスドラマコード付き特装版,6
スロウスタート　13,5
蒼き鋼のアルペジオ　〜海洋技術総合学院タカオ部〜　1,2
ざつ旅ーThat's Journey- 14,2
ライドンキング（16）,2
魔法陣グルグル2,2
主人恋日記（12）,2
藍渓鎮 羅小黒戦記外伝 （4）,2
もうひとつのピアノの森　整う音（2）,2
機動戦士クロスボーン・ガンダム ゼーロイバー（2）,2
ジャヒー様はくじけない！（12）,2
よくある令嬢転生だと思ったのに　3,2
島さん（8）,5
天地創造デザイン部（9）,5
再婚承認を要求します 7,2
ロマンシング サ・ガ2 II -傭兵皇帝オライオン編ー,5
屋根裏部屋の公爵夫人 7,2
ボールパークでつかまえて！（18）,2
弱気MAX令嬢なのに、辣腕婚約者様の賭けに乗ってしまった　5,2
ふしぎな猫のまち メルティア（4）,2
社外取締役　島耕作（7）,2
新版　しっぽのお医者さん　4,5
青春ヘビーローテーション（18）,6
50歳からの気ままにゆらゆらひとり旅,3
娘の寝室（6）,2
魔法使いの嫁 24　ヤマザキコレ描き下ろし漫画小冊子付き特装版,2
カードファイト！！ ヴァンガード スカイライド（5）,6
キングダム 76,2
股間無双〜嫌われ勇者は魔族に愛される〜（7）,2
満州アヘンスクワッド（22）,2
ブスなんて言わないで（6）,2
花嫁修業をやめたくて、冷徹公爵の13番目の婚約者になります（10）,2
異世界居酒屋「げん」（14）,2
ゾク　こわい本7 学園,2
ヴァンパイア騎士 memories ボイスドラマ＆小冊子付き特装版 11,2
もう好きでしょ、オレのこと（3）,2
爆弾（2）,2
オープンカー・ガールズ（2）,2
氷核のメテオリア（3）,2
伊藤潤二自選傑作集Dark　Colors,5
クラスで2番目に可愛い女の子と友だちになった　7,2
月が導く異世界道中（16）,2
ゆるふわ農家の文字化けスキル　〜異世界でカタログ通販やってます〜（7）,2
DEAR　BOYS　ACT4（21）,2
婚約者が明日、結婚するそうです。（4）,2
ヴラド・ドラクラ　9,2
安野モヨコ選集 シュガシュガルーン（2）,2
鍛冶屋ではじめる異世界スローライフ6,2
魔法少女リリカルなのはA’s　新装版,5
トランスフォーマーごー！　ごー！　大冒険編,5
死ぬ運命にある悪役令嬢の兄に転生したので、妹を育てて未来を変えたいと思います 2,2
月華国奇医伝　第十四巻（14）,2
ブルーロック　FULL　COLOR　SELECTION（3）　ミヒャエル・カイザー,5
火の神さまの掃除人ですが、いつの間にか花嫁として溺愛されています（7）,2
税金で買った本（17）,2
ツイステ4コマbyもち,5
トナリはなにを食う人ぞ ほろよい 14,2
天使と悪魔（1）,2
最強の鑑定士って誰のこと？ 〜満腹ごはんで異世界生活〜 12,2
ひらやすみ（6）,6
売れ残りの奴隷エルフを拾ったので、娘にすることにした　3,2
君と宇宙を歩くために（5）,2
きのした魔法工務店　異世界工法で最強の家づくりを（コミック） 3,2
「赤毛の役立たず」とクビになった魔力なしの魔女ですが、「薬草の知識がハンパない！」と王立研究所に即採用されました。 5,2
逃がした魚は大きかったが釣りあげた魚が大きすぎた件（コミック）（9）,2
ケロロ軍曹　（35）,5
一緒に剣の修行をした幼馴染が奴隷になっていたので、Sランク冒険者の僕は彼女を買って守ることにした4,2
執事セバスチャンの職業事情（8）,2
小説　とんがり帽子のアトリエ　スペシャルストーリーズ,2
吸血鬼と愉快な仲間たち 8,2
駅伝男子プロジェクト（5）,6
女神の疵痕 3,2
山と食欲と私 20,2
ドラフトキング 23,2
彼女、お借りします（43）,2
このマンガがすごい! 2026,5
WORST外伝　ゼットン先生　17,2
ネットの『推し』とリアルの『推し』が隣に引っ越してきた 5,2
劇光仮面（8）,2
しょせん他人事ですから 〜とある弁護士の本音の仕事〜 10,2
新装版　もやしもん（3）,5
暗殺後宮〜暗殺女官・花鈴はゆったり生きたい〜（9）,6
超越者となったおっさんはマイペースに異世界を散策する（7）,2
かたわれ令嬢が男装する理由（5）,2
界変の魔法使い（3）,6
酒のほそ道 （58）,5
アオアシ ジュニア版（40）,6
「子供を殺してください」という親たち 18,2
織田ちゃんと明智くん（5）,2
青のミブロー新選組編ー（8）,2
人類の半数がちいこになった　2,2
200m先の熱 15,2
小説 機動戦士ガンダム 水星の魔女（5）,2
ぱちん娘。8,5
日陰のアミル　5 追放されて無双する最強弓使い,2
手塚治虫 ミッシング・ピーシズ,5
釣りバカ日誌（117）,6
ボーイッシュ彼女が可愛すぎる（4）,2
ミワさんなりすます（15）,6
国を追われた竜師さん、拾われた隣国でうっかり無双してしまう。〜弱小国家が大陸最強の竜の楽園になるまで〜（4）,2
アニメコミック　忍たま乱太郎　二巻　一緒に帰るの段,5
殺し屋の推し 4,2
氷の公爵様と私の幸せな契約再婚（1）,2
ルリドラゴン 4,2
美龍艶笑譚〜自己肯定感が激低なドラゴン級美少女魔王を、勇者がイチャラブで退治するお話〜（9）,2
陸奥圓明流異界伝　修羅の紋　ムツさんはチョー強い？！（16）,2
念願の悪役令嬢の身体を手に入れたぞ！（8）,2
最強女師匠たちが育成方針を巡って修羅場（11）,2
3月のライオン18　ミニアクリルフィギュア12キャラ付き特装版,5
マイペースと歩く 2,2
カノジョは俺にかみつきたい（3）,6
CLAMP　PREMIUM　COLLECTION　CLOVER（2）,2
軍人婿さんと大根嫁さん　7,2
アフターゴッド（10）,6
盤上のオリオン（8）,2
裏バイト:逃亡禁止（17）,6
増田こうすけ劇場 ギャグマンガ日和GB 9,5
ストリーミング・ラブアディクション（2）,5
劇場版アニメコミック名探偵コナン 隻眼の残像（上）,6
狼皇子と嘘つきな結婚 4,2
娘じゃなくて私が好きなの！？ 9,2
もう興味がないと離婚された令嬢の意外と楽しい新生活（5）,6
空っぽ聖女として捨てられたはずが、嫁ぎ先の皇帝陛下に溺愛されています 5,2
婚約破棄の手続きはお済みですか？ 　第二の人生を謳歌しようと思ったら、ギルドを立て直すことになりました　5,2
ちいかわ　なんか小さくてかわいいやつ（7）なんか飛び出ていろいろ貼れるフォトアルバム付き特装版,5
役立たずスキルで捨てられた令嬢が、本当の幸せをつかむまで（2）,2
レーエンデ国物語（2）,2
侯爵嫡男好色物語 〜異世界ハーレム英雄戦記〜（9）,2
秘密法人デスメイカー　2,5
アニメコミック　忍たま乱太郎　一巻　七松家への家庭訪問の段,5
黒崎くんは独占したがる〜はじめての恋は甘すぎて〜　6,2
いつでも自宅に帰れる俺は、異世界で行商人をはじめました 7,2
実力主義に拾われた鑑定士（4）,2
乙女ゲー世界はモブに厳しい世界です　01（1）,2
よわよわ先生（15）,2
僕の奥さんはちょっと怖い（14）,2
成仏させてよ！ 3,2
パリピ孔明（23）,2
ゾク　こわい本8 人の闇／猫目小僧1,2
ニセモノ聖女は運命をくつがえす（3）,2
虚構推理（24）,5
機動戦士ガンダム　赤い三巨星（5）,2
WORST外伝　グリコ　36,2
味方が弱すぎて補助魔法に徹していた宮廷魔法師、追放されて最強を目指す（18）,2
だって望まれない番ですから 3,2
スライム倒して300年、知らないうちにレベルMAXになってました（17）,2
こういうのがいい 12,2
サテンdeサザン（3）,6
ゾク　こわい本9 森の闇／猫目小僧2,2
アンサー 11,2
結界師の一輪華 7,2
デリヲの推しごと（2）,2
転生したら第七王子だったので、気ままに魔術を極めます（21）,2
近野智夏の腐じょうな日常　8,2
焼いてるふたり（22）,2
小鳥遊家の妹は花嫁になりたいっ！！（8）,2
Q．E．D．UNIV．　-証明終了ー（2）,2
刷ったもんだ！（13）,2
シテの花ー能楽師・葉賀琥太朗の咲き方ー（4）,6
霧の森ホテル（3）,6
ディノサン 8,2
ごちそうΩはチュウと鳴く 4 小冊子付き特装版,2
蜜果　5,2
片田舎のおっさん、剣聖になる外伝　はじまりの魔法剣士（2）,2
機動戦士ガンダム アグレッサー（23）,2
竜送りのイサギ（6）,2
終末のワルキューレ禁伝 神々の黙示録（4）,2
ゴルゴ13（219巻）,2
きょうの猫村さん 11,5
黒猫と魔女の教室（13）,2
広報部出身の悪役令嬢ですが、無表情な王子が「君を手放したくない」と言い出しました　3,2
ツーリング・エクスプレス〜ノワール編〜,2
ドラマな恋は基本から（7）,2
殉国のアルファ〜オメガ・ベルサイユ〜（8）,2
アンダー3（2）,2
公爵家の愛されニセ幼女　4,2
おしかけ王子は2度おいしい 14,2
公爵夫人の50のお茶レシピ　10,2
君には届かない。　10,2
柊さんちの吸血事情（6）,2
時間停止勇者（20）,2
空母いぶきGREAT GAME（17）,2
失格紋の最強賢者 〜世界最強の賢者が更に強くなるために転生しました〜,2
ザ・ファブル　The　third　secret　（2）,2
僕らの地球の歩き方（7）,2
ダチョウ獣人のはちゃめちゃ無双 アホかわいい最強種族のリーダーになりました,2
アオバノバスケ（10）,2
Mr.マロウブルー,2
小説　デッドマウント・デスプレイ外伝　怪人ソリティアの神仙偽術（3）,2
ふしぎの国のバード　13巻,2
ガールクラッシュ 5,2
異世界らくらくサバイバル〜生存スキル強者の俺が美少女四人と暮らす無人島生活〜（7）,2
L　DK　Pink（2）,2
ギルティサークル（18）,2
みいちゃんと山田さん（4）,2
ゾン100〜ゾンビになるまでにしたい100のこと〜（21）,6
カヤちゃんはコワくない 8,2
死亡確定陛下を救いたいのに、本人が溺愛で邪魔してきます！（2）,2
学園潜水艦隊マーメイドガールズ（3）,2
あくまでクジャクの話です。（6）,2
六花綺譚（2）,2
多聞くん今どっち！？ 13,2
最強出涸らし皇子の暗躍帝位争い　（9）,2
悪党一家の愛娘、転生先も乙女ゲームの極道令嬢でした。〜最上級ランクの悪役さま、その溺愛は不要です！〜@COMIC 第5巻,2
冒険者絶対殺すダンジョン 3,2
機動戦士ガンダムSEED FREEDOM ASTRAY（2）,2
カッコウの許嫁（30）,2
帝乃三姉妹は案外、チョロい。（17）,2
塔の管理をしてみよう　27,2
処刑された賢者はリッチに転生して侵略戦争を始める（14）,2
暗殺スキルで異世界最強　〜錬金術と暗殺術を極めた俺は、世界を陰から支配する〜（7）,2
百瀬アキラの初恋破綻中。（5）,6
魔法少女リリカルなのはStrikerS　THE　COMICS　1　新装版,5
貸した魔力はで強制徴収〜用済みとパーティー追放された俺は、可愛いサポート妖精と一緒に取り立てた魔力を運用して最強を目指す。〜（5）,2
お前妹じゃなくて許嫁だったのかよ!? 5,2
ナガノ展　原画集　NAGANO　EXHIBITION　COMPLETE　WORKS,5
二階堂地獄ゴルフ（10）,2
修羅の刻（26）,2
グラぱらっ！（10）,2
キャプテン2 17,2
スタジオカバナ8,2
勇者殺しの元暗殺者。　〜無職のおっさんから始まるセカンドライフ〜　4,2
乙女思考の鶉井くん　（2）,2
社長が私を抱く理由　3,2
霊感工務店リペア 家の巻,2
TSUYOSHI 誰も勝てない、アイツには（29）,6
魔女と傭兵（7）,2
泣いてみろ、乞うてもいい　4,2
家守綺譚 下,2
型録通販から始まる、追放令嬢のスローライフ（1）,2
アオハルは愛し愛され　上,2
戦国小町苦労譚　上杉臣従（19）,2
弟の距離感がバグってます（5）,2
平成敗残兵すみれちゃん（8）,2
来る日もねこめ〜わく　1,2
現象X 超常現象捜査録　2,2
鉄血キュッヒェ（2）,2
追放悪役令嬢の旦那様 9,2
高木りゅうぞう作品集 ツイステッド,2
異界撤退パラベラム 02（2）,2
ゴールデンドロップ（12）,2
異世界でおまけの兄さん自立を目指す（5）,2
出会って5秒でバトル（29）,2
鳴川くんは泣かされたくない（8）,2
クロスオーバーレブ！　16,2
末永くよろしくお願いします 15,2
劇場版アニメコミック名探偵コナン 隻眼の残像（下）,6
漫画　ゆうえんち　-バキ外伝ー　9,5
神聖ローマ帝国　三十年戦争,2
俺だけレベルアップな件 22,2
落日のパトス　18,2
できるメイド様　5,2
紫雲寺家の子供たち 8,2
MAJOR 2nd（メジャーセカンド）（31）,2
「死んでみろ」と言われたので死にました。 5,2
逃がさないよ？ 袋路くん（2）,2
煩悩☆西遊記（12）,6
生憎だが、君を手放すつもりはない〜冷徹御曹司の激愛が溢れたら〜　4,2
うさひな -5年付き合ってる大学生カップルの話ー（1）,2
大正學生愛妻家（3）小冊子付き特装版,2
覇界王〜ガオガイガー対ベターマン〜 the COMIC 7,2
お針子令嬢と氷の伯爵の白い結婚（3）,6
かまくらBAKE猫倶楽部（3）,2
ちはやふる　plus　きみがため（5）,2
魔女大戦 32人の異才の魔女は殺し合う（14）,2
トニカクカワイイ（34）,2
とんでもスキルで異世界放浪メシ 11,2
新装版 機動戦士ガンダム ギレン暗殺計画 2,2
クッキングパパ（175）,5
スノウボールアース（10）,6
ふうふよきかな　〜夫婦善哉〜　1,2
追放された名家の長男　〜馬鹿にされたハズレスキルで最強へと昇り詰める〜　4,2
